Processing files...
estimator: SVC; dim_reduction: pca; min_score: 0.886; mean_score: 0.913; max_score: 0.946; std_score: 0.023; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 0.1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.889; mean_score: 0.922; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 0.1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.888; mean_score: 0.921; max_score: 0.956; std_score: 0.026; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 0.1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.905; mean_score: 0.93; max_score: 0.958; std_score: 0.02; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.902; mean_score: 0.93; max_score: 0.959; std_score: 0.022; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.903; mean_score: 0.931; max_score: 0.959; std_score: 0.022; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.867; mean_score: 0.909; max_score: 0.952; std_score: 0.029; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 0.1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.874; mean_score: 0.918; max_score: 0.959; std_score: 0.029; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 0.1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.874; mean_score: 0.918; max_score: 0.96; std_score: 0.029; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 0.1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.902; mean_score: 0.928; max_score: 0.954; std_score: 0.02; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.905; mean_score: 0.933; max_score: 0.962; std_score: 0.023; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.905; mean_score: 0.933; max_score: 0.961; std_score: 0.022; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.866; mean_score: 0.898; max_score: 0.944; std_score: 0.03; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 0.1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 100}
estimator: SVC; dim_reduction: pca; min_score: 0.876; mean_score: 0.911; max_score: 0.954; std_score: 0.03; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 0.1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 100}
